"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","North Korea","8.936754e+01","8.905835e+01","8.874916e+01","8.843997e+01","8.813078e+01","8.782159e+01","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","North Korea","82.69000","82.69000","65.38000","65.38000","65.38000","65.38000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","North Korea","  27.74","  27.74","  27.74","  27.74","  27.74","  27.74","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","North Korea",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","North Korea","14.58","14.58","14.58","14.58","14.58","14.58","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","North Korea"," 2.1927567"," 2.4561614"," 3.2787639"," 3.0545279"," 3.3155092"," 3.4151879","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","North Korea","   70.02","   69.91","   69.19","   70.13","   72.27","   63.75","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.4875","0.5% compare to 2007 in CO2-eq tonnes"
"8","North Korea","83.14909","83.03059","82.91466","82.80074","82.69905","82.63670","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","North Korea","74.80","72.78","74.58","73.92","72.69","72.82","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","North Korea","56.44","51.04","50.32","43.53","41.46","41.46","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","North Korea"," 73.95274"," 73.79501"," 73.64337"," 73.49831"," 73.35993"," 73.45744","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
